,cell_num,rna_run,dna_run
0,1,SRR16195160,SRR22047575
1,2,SRR16195159,SRR22047574
2,3,SRR16195158,SRR22047573
3,4,SRR16195109,SRR22047572
4,5,SRR16195108,SRR22047507
5,6,SRR16195107,SRR22047506
6,7,SRR16195106,SRR22047505
7,8,SRR16195105,SRR22047504
8,9,SRR16195104,SRR22047503
9,10,SRR16195103,SRR22047502
10,11,SRR16195102,SRR22047501
11,12,SRR16195101,SRR22047500
12,13,SRR16195100,SRR22047499
13,14,SRR16195099,SRR22047498
14,15,SRR16195098,SRR22047497
15,16,SRR16195097,SRR22047496
16,17,SRR16195096,SRR22047495
17,18,SRR16195095,SRR22047494
18,19,SRR16195094,SRR22047493
19,20,SRR16195093,SRR22047492
20,21,SRR16195092,SRR22047491
21,22,SRR16195091,SRR22047490
22,23,SRR16195090,SRR22047489
23,24,SRR16195089,SRR22047488
24,25,SRR16195088,SRR22047487
25,26,SRR16195087,SRR22047486
26,27,SRR16195086,SRR22047485
27,28,SRR16195232,SRR22047484
28,29,SRR16195231,SRR22047483
29,30,SRR16195230,SRR22047482
30,31,SRR16195229,SRR22047481
31,32,SRR16195228,SRR22047480
32,33,SRR16195227,SRR22047479
33,34,SRR16195226,SRR22047478
34,35,SRR16195225,SRR22047477
35,36,SRR16195224,SRR22047476
36,37,SRR16195223,SRR22047571
37,38,SRR16195222,SRR22047570
38,39,SRR16195221,SRR22047569
39,40,SRR16195220,SRR22047568
40,41,SRR16195219,SRR22047567
41,42,SRR16195218,SRR22047566
42,43,SRR16195217,SRR22047565
43,44,SRR16195216,SRR22047564
44,45,SRR16195215,SRR22047563
45,46,SRR16195214,SRR22047562
46,47,SRR16195213,SRR22047561
47,48,SRR16195212,SRR22047560
48,49,SRR16195211,SRR22047559
49,50,SRR16195210,SRR22047558
50,51,SRR16195209,SRR22047557
51,52,SRR16195085,SRR22047556
52,53,SRR16195084,SRR22047555
53,54,SRR16195083,SRR22047554
54,55,SRR16195082,SRR22047553
55,56,SRR16195081,SRR22047552
56,57,SRR16195080,SRR22047551
57,58,SRR16195079,SRR22047550
58,59,SRR16195078,SRR22047549
59,60,SRR16195077,SRR22047548
60,61,SRR16195076,SRR22047547
61,62,SRR16195075,SRR22047546
62,63,SRR16195074,SRR22047545
63,64,SRR16195073,SRR22047544
64,65,SRR16195072,SRR22047543
65,66,SRR16195071,SRR22047542
66,67,SRR16195070,SRR22047541
67,68,SRR16195069,SRR22047540
68,69,SRR16195068,SRR22047475
69,70,SRR16195067,SRR22047474
70,71,SRR16195066,SRR22047473
71,72,SRR16195065,SRR22047472
72,73,SRR16195064,SRR22047471
73,74,SRR16195063,SRR22047470
74,75,SRR16195062,SRR22047469
75,76,SRR16194969,SRR22047468
76,77,SRR16194968,SRR22047467
77,78,SRR16194967,SRR22047466
78,79,SRR16194966,SRR22047465
79,80,SRR16194965,SRR22047464
80,81,SRR16194964,SRR22047463
81,82,SRR16194963,SRR22047462
82,83,SRR16194962,SRR22047461
83,84,SRR16194961,SRR22047460
84,85,SRR16194960,SRR22047459
85,86,SRR16194959,SRR22047458
86,87,SRR16194958,SRR22047457
87,88,SRR16194957,SRR22047456
88,89,SRR16194956,SRR22047455
89,90,SRR16194955,SRR22047454
90,91,SRR16194954,SRR22047453
91,92,SRR16194953,SRR22047452
92,93,SRR16194952,SRR22047391
93,94,SRR16194951,SRR22047390
94,95,SRR16194950,SRR22047389
95,96,SRR16194949,SRR22047388
