,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
0,SRR16195160,12/31/22 0:17,10/4/21 17:05,442928,63422994,442928,143,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR016/16195/SRR16195160/SRR16195160.lite.1,SRX12479394,GSM5609425,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442945,SAMN22044904,simple,9606,Homo sapiens,GSM5609425,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,7F5445FC0D80D205A571A73A84A9813E,4624C3F8688710092CB2E423492A75BB,Smart-HCT-01,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 001,GPL18573,Illumina NextSeq 500
1,SRR16195159,12/31/22 0:17,10/4/21 17:05,289373,41434581,289373,143,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195159/SRR16195159.lite.1,SRX12479395,GSM5609426,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442946,SAMN22044903,simple,9606,Homo sapiens,GSM5609426,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,3068B3F5E9C0C2F9A3A972C5C4889108,D629EB7BAA322A8F5F0350F4B06C4896,Smart-HCT-02,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 002,GPL18573,Illumina NextSeq 500
2,SRR16195158,12/31/22 0:17,10/4/21 17:05,330976,47390825,330976,143,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195158/SRR16195158.lite.1,SRX12479396,GSM5609427,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442947,SAMN22044902,simple,9606,Homo sapiens,GSM5609427,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,60F618611CE76F02E8C973729976403F,55E10B7273275C5C5823327EE077CD98,Smart-HCT-03,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 003,GPL18573,Illumina NextSeq 500
3,SRR16195157,12/31/22 0:17,10/4/21 17:05,1433760,205376026,1433760,143,82,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195157/SRR16195157.lite.1,SRX12479397,GSM5609620,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442948,SAMN22044709,simple,9606,Homo sapiens,GSM5609620,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,D152661CFEAA7B2875DAC9D5CF5E706E,27458B2217D5EA134A6F093CC0330A1F,HUVEC+H9 scONEseq 002,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 002,GPL18573,Illumina NextSeq 500
4,SRR16195156,12/31/22 0:17,10/4/21 17:05,1249934,179029075,1249934,143,72,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195156/SRR16195156.lite.1,SRX12479398,GSM5609621,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442949,SAMN22044708,simple,9606,Homo sapiens,GSM5609621,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,D8755140C9235842B99A1295DAEE5CAC,9C8F0FA05CE1662288524F1170EB7260,HUVEC+H9 scONEseq 003,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 003,GPL18573,Illumina NextSeq 500
5,SRR16195155,12/31/22 0:17,10/4/21 17:05,1249873,179028128,1249873,143,72,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195155/SRR16195155.lite.1,SRX12479399,GSM5609622,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442950,SAMN22044707,simple,9606,Homo sapiens,GSM5609622,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,A030D8031AD0F81019F804F0DDBFC276,48036FDD9DC94429BC9BDA44B2A4ED3C,HUVEC+H9 scONEseq 004,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 004,GPL18573,Illumina NextSeq 500
6,SRR16195154,12/31/22 0:17,10/4/21 17:05,1229207,176079810,1229207,143,70,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195154/SRR16195154.lite.1,SRX12479400,GSM5609623,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442951,SAMN22044706,simple,9606,Homo sapiens,GSM5609623,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,E475C90208DE4129E051CF73D9EAFA98,2A7F69DBCE6B811F488FD7450B0D53C6,HUVEC+H9 scONEseq 005,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 005,GPL18573,Illumina NextSeq 500
7,SRR16195153,12/31/22 0:17,10/4/21 17:05,1024753,146792703,1024753,143,59,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195153/SRR16195153.lite.1,SRX12479401,GSM5609624,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442952,SAMN22044705,simple,9606,Homo sapiens,GSM5609624,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,67DA2996604182344AD26D7EE1AF14B5,5FAA152A579A111C612A94EFD9F3606A,HUVEC+H9 scONEseq 006,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 006,GPL18573,Illumina NextSeq 500
8,SRR16195152,12/31/22 0:17,10/4/21 17:05,1015576,145446512,1015576,143,58,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195152/SRR16195152.lite.1,SRX12479402,GSM5609625,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442953,SAMN22044704,simple,9606,Homo sapiens,GSM5609625,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,CF0AEF250FF730207A569BF366135B43,0C2F1867F5C907379937020DB94ABDFA,HUVEC+H9 scONEseq 007,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 007,GPL18573,Illumina NextSeq 500
9,SRR16195151,12/31/22 0:17,10/4/21 17:05,713817,102235095,713817,143,41,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16195/SRR16195151/SRR16195151.lite.1,SRX12479403,GSM5609626,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP339960,PRJNA768428,3,768428,SRS10442954,SAMN22044703,simple,9606,Homo sapiens,GSM5609626,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1305581,,public,263EBD86D10A955037FE225C970E5AB5,E72940FD9479ABFBDC9A96D6E4B8E0F2,HUVEC+H9 scONEseq 008,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 008,GPL18573,Illumina NextSeq 500
