,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
0,SRR16195160,GSM5609425,RNA-Seq,cDNA,GSM5609425,Smart-HCT-01,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 001,GPL18573,Illumina NextSeq 500
1,SRR16195159,GSM5609426,RNA-Seq,cDNA,GSM5609426,Smart-HCT-02,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 002,GPL18573,Illumina NextSeq 500
2,SRR16195158,GSM5609427,RNA-Seq,cDNA,GSM5609427,Smart-HCT-03,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 003,GPL18573,Illumina NextSeq 500
3,SRR16195157,GSM5609620,OTHER,other,GSM5609620,HUVEC+H9 scONEseq 002,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 002,GPL18573,Illumina NextSeq 500
4,SRR16195156,GSM5609621,OTHER,other,GSM5609621,HUVEC+H9 scONEseq 003,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 003,GPL18573,Illumina NextSeq 500
5,SRR16195155,GSM5609622,OTHER,other,GSM5609622,HUVEC+H9 scONEseq 004,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 004,GPL18573,Illumina NextSeq 500
6,SRR16195154,GSM5609623,OTHER,other,GSM5609623,HUVEC+H9 scONEseq 005,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 005,GPL18573,Illumina NextSeq 500
7,SRR16195153,GSM5609624,OTHER,other,GSM5609624,HUVEC+H9 scONEseq 006,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 006,GPL18573,Illumina NextSeq 500
8,SRR16195152,GSM5609625,OTHER,other,GSM5609625,HUVEC+H9 scONEseq 007,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 007,GPL18573,Illumina NextSeq 500
9,SRR16195151,GSM5609626,OTHER,other,GSM5609626,HUVEC+H9 scONEseq 008,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 008,GPL18573,Illumina NextSeq 500
10,SRR16195150,GSM5609627,OTHER,other,GSM5609627,HUVEC+H9 scONEseq 009,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 009,GPL18573,Illumina NextSeq 500
11,SRR16195149,GSM5609628,OTHER,other,GSM5609628,HUVEC+H9 scONEseq 010,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 010,GPL18573,Illumina NextSeq 500
12,SRR16195148,GSM5609629,OTHER,other,GSM5609629,HUVEC+H9 scONEseq 011,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 011,GPL18573,Illumina NextSeq 500
13,SRR16195147,GSM5609630,OTHER,other,GSM5609630,HUVEC+H9 scONEseq 012,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 012,GPL18573,Illumina NextSeq 500
14,SRR16195146,GSM5609631,OTHER,other,GSM5609631,HUVEC+H9 scONEseq 013,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 013,GPL18573,Illumina NextSeq 500
15,SRR16195145,GSM5609632,OTHER,other,GSM5609632,HUVEC+H9 scONEseq 014,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 014,GPL18573,Illumina NextSeq 500
